Sentiments,Positive
un ki tehriron mein besakhtagi aur rawani hai,1
is leye kuch hazrat ke nazdek un ki tehrirein mazamin ke bajaye taqrir kehlane ki mustahiq hain,1
basakhtagi aur rawani ne molvi sahib ki tehriron mein bari dilkashi aur ranai peda kar di hai,1
wo apni rawani tehrir mein qari ko bhi apne sath baha kar le jate hain,1
unhon ne bila zarorat adaq zaban aur angrezi alfaz lekhne se gurez kiya,1
unhon ne hindi zaban ke subuk alfaz bhi istemal kiye jin se un ki nasar mein aik ajeeb se chashni peda ho gai,1
un ki tehriron mein ba payan khulos paya jata hai,1
un ki tehrir parh kar yun mehsos hota hai ka is ke alfaz moye qalam se nahi balke dil se nikle hon,1
isi sachai aur khulos ne molvi abdul haq ko shurat e aam aur baqa e dawam ata kiya,1
molvi abdul haq aik kamyab marqa nigar aur sawanah nawis hain,1
un ke tamam marqaat sachai aur ghair janibdari se ebarat hain,1
unhon ne jin afrad ki sawanah tehrir ki ya un ki shakhsiyat par izhar e khayal kiya un ki serat ke tama m pheloon par seer hasil behas ki phir sab se bari baat ye hai ke aam tor par bashtar marqa nigar ke bajaye apni zaat ko numaya karna chahate hain wo us ke aur apne zati taliqat ke hawale se ese waqeyat samne late hain jin mein un ki shakhsiyat bar bar numaya ho kar ati hai,1
taham baba e urdu ki marqa nigari is saqam se pak hai,1
wo apne qalm ko us ki shakhsiyat ki serat tak mehdod rakhte hain jis ka khaka tehrir kiya ja raha hai ya sawanah likhi ja rahi hai,1
taham agar kabhi musanif ki shakhsiyat jhalakti hai to is ka aks bara e naam hota hai jo aik chand jumlon ya aik adha paragraph tak mehdod rehta hai,1
unhon ne sirf marof aur aham shakhsiyat hi par qalm nahi uthaya balke naam dev mali aur noor khan jese aam admiyon ke khake bhi likhe kyun ke molvi abdul haq k na sirf phol hi mein aan nazar nahi ati wo to kante menbhi aik shan dekh kar mutasir ho jate hain,1
molvi abdul haq ka sab se bara karnama ye hai ke unhon ne urdu ke qadem sarmaye nazam o nasar ko daryaft karne aur is ka tahfuz karne ke silsile mein baqaidah aik tehrik chalai,1
is tehrik ke natije mein molvi sahib ki infiradi koshihson se urdu ke naamwar qadem shura aur nasar nigaron ke nadir o nayab tazkare qalmi kutub aur majmoi kalam dastiyab howe,1
nizami ki qadem masnoiyon phol bin nashati ki razm aama aur molla wajhi ki dastan sab ras ki daryaft molvi sahib ki sai musalsal se hi mumkin ho saki,1
molvi sahib ne qadem mehzotaat mein baqidah tehkik ki un par tabsare kiye unhen shaya karaya is koshishs ki badolat bashumar mehzotaat zewar e taba se arasta ho kar ehl e elm ke samne aye,1
urdu college ka qayam molvi abdul haq ka aik aur azeem karnama hai,1
is coolege mein fanon qanon science aur tejarat ki teleem urdu mein hi de jati hai,1
is college mein ma msc aur llm ki taleem bhi de jati hai jin ka zarya e taleem urdu hai,1
molvi abdul haq ne urdu ko pakistan ki qaumi zanban banane ke silsile mein zabardast jid o jehad ki,1
unhon ne na sirf apni taqriron aur tehriron ke zarye qaumi renumaon aur hukam ko mutawajah kiya balke mein unhon ne urdu ke haq mein aik shandar awami jaloos nikala jis ke shurka ki tadad aik lakh se zaid thi,1
in hi koshishon ka samar ye tha ke ke dastor mein urdu ko bahesiyat qaumi zaban ke taslim kar leya gaya,1
molvi sahib ne anjuman e taraqi e urdu ke zer e ahtemam do adad ilmi aur adbi jaraid urdu aur qaumi zaban bhi jari kiye,1
in jaraid mein anjuman ke maqasid ki tashher ke elawa mayari elmi aur adbi mazamin shura ka mayari kalam aur elaqai zabanon ke mazamin aur afsanon ke tarajum bhi shaya kiye jate hain,1
molvi abdul haq ne aik mustanad aur mayari angrezi urdu lughat bhi tarteb di,1
unhon ne beshumar mutaradifat bhi ejad kiye,1
molvi abdul haq ki koshishon se karachi mein anjuman e taraqi e urdu ka aik jaded chapa khana anjuman press ke naam se qaim howa,1
is press ke qayam ki badolat anjuman ke leye apni kutub ki ashat mein bohat asaniyan peda ho gaein,1
anjuman ke apne risale urdu aur qaumi zaban esi press mein shaya howe,1
jinho ne film se apne career ka aaghaz kia aur in dino tv ka hot star samjha jata hai,1
guzishta do teen salon mein in ke kuch serials be had maqbool aur kamiyab hue hain,1
haal he mein ahsan khan se aik ittefaqiya mulaqat mein kuch batein hui jin ka aehwal pesh e khidmat hai,1
film mein kaam karte hue hum pori tarha azaad hote hain aur khul kar apne jazbaat ka izhar karte hain,1
main ne ab tvko mustaqil taur par apna lia hai yahan jitney ache roles kar raha hon wo meri zehni taskeen ke liye kafi hain,1
phir muaawza bhi thek thak milta hai,1
is se zindagi ki garhi achi chal rahi hai,1
yahan bohat mutmaiyn hon,1
meri dua hai ke hamari films pehle ki tarha nazreen ke dilon mein apna maqam bana len,1
agar films mein ache roles ki offer hui to waqtan fawaqtan in mein kaam karta rahonga,1
main ne kae serials mein negative roles bhi play kiye hain aur in ka acha response mila,1
is tarha mujhe kaam karne mein maza aaega aur logon ko bhi nea pan ka aehsaas hoga,1
mere liye yeh bohat barha aezaaz tha ke film industry ke be misaal aur ba kamala hero ka role karon,1
mene itni careem chalayi hia abhi tak fit nhi hua,1
aisi videos yaar so creative,1
dua karo p,1
yaaaay hm patly ho k careem k drivers ko bataya kren gu,1
ab ki na koi kam wali bat,1
ye cheezz,1
samj rahi ho,1
yaar chorh civic waghaira careem hamara dost hai yaar d d,1
please mjhe jitwa do ik,1
x ly ly promo offer chal rahi hai careem ki,1
oppo f nikla hai,1
khush hu jau kal chakar lagana careem mn,1
miley ga miley ga,1
wah,1
adaaa,1
is per tu pakistan zindabad banta hai bhai,1
abdul wali bro nice job yar ap bhoot acha kam kr rhn hain or yaqeen mano main nay webdes k bary main jo kuch seekha pa sa he seekha bhoot umda kam kr rhy hain ap wali bro laken mujy masla ho rha h word press k sath main website bna le h but os site jasa lay out mujy wordpress main nahi mil rha h navigation bhe ah jati h top wali but main left pa ak navigation chata hn or right pa categories jis main spose krn graphics adob photoshop then photoshop k neacha bhe koey catgory ho jis main main post dal saku plz help me rizwanisbdgmailcom mri id h i need help,1
agar main ghalat bol raha ho to ap sahi kar k bata den k ye nahi ye hota hai tab mujhy pata chalyga k main ghalat ho ya theek,1
han main bhi krta hun ptcl bb aaraam say hojata hai,1
quetta alamdar road per police manshiyat farosho ke khilaf karwai mulzim gariftar kg chars baramad heroni gariftar,1
zabardast,1
bohottttt khubsurat he waqae jo maza wahan jakr dekhne mn he wo ese nahi he zindgi k khubsurat lamhat the wahan k really missing skd alot,1
mujhay iska print bohat pasand aya bohat nafees aur khubsurat print hai kurit kay sath tasweer mein dekhaya black trouser bhi add karna chaye ismein,1
ye kurti bari achi hai iska print mujhay acha laga aur pehnney mein bhi comfortable hai aaj kal kay mausam kay hisab sey color aur kapra dono suitable hai,1
behtreen jesi yeh shirts yahan dikhai gai hain mjhe bilkul wohi receive hui hain na color mein koi difference hai na hi iske material me aur mjhe bohat pasand ai hain size aur fitting b accurate thi bilkul aur inki quality se main kafi khush aur mutmaeen hoon,1
bohot acha tha maine yeh apni liye mangwai thi or mujhe sai lageen bus masla yeh tha ke meine medium mangwai thi laken mere paas large deliver hui laken maine rakh li phir bhi acha quality tha or defect bhi nahi thay bus red thora saturated tha baaki saet tha,1
tshirt kaafi achi thi aur experience iss dafah kaafi acha raha hai mera aur koi bhi shikayat nahi hai iss se kyunke jaisi maine ye picture mai dekhi thi ye bilkul waisay he thi aur mjhe fitting mai bhi bilkul sahi hai aur iska stuff bhi kaafi acha hai aur color bhi acha hai,1
meine darazpk se or bhi products mangwaye hain kuch achay hotay hain or kuch nahi khair ye tshirt achi hai pehn kar achi lagti hai laken kaafi mota kapra hai garmiyon mein pehnne laiq nahi hai laken wese aap kahin pehn ke bhi chalay jao toh achi lagti hai main isay jeans par pehnta hun arms ke paas se bohot achi fitting hai iski v neck thora stylish lagta hai or price ke hisaab se mein kahunga ke yeh achi ha,1
achi tshirts thi asal mein meine apnay bachay ke liye mangwayi thi or who bhot khush hai kyunke who ek football ke players ka fan hai or who yehi pehnkar ghoomte rehta hai uske ilawa stuff bohot acha hai in tshirts ka toh is price mein bohot achi cheez hai yeh mein sabko recommend karna chahungi ye tshirts,1
ahan nice janab,1
hmmmm nice hai raniya aur yeh bachi kehi tum hud too nehi hokhi,1
yay mobile bhtreen hay,1
black mein prime plus puranay walay prime ki yaad dilata hai lekin shukar hai kay features behtar hain ussay mp camera ka result din aur raat dono mein bohat acha hai iski wifi ki speed aur behtar hai aur phone pehlay se zyada responsive hai,1
acha phone hai heatup hota hai thora and charge slow hota hai but over all perfect device in price range,1
itna pyara phone hai yeh main iski performance se bohat mutameen hoon dikhne mein itna acha hai aur fast b hai camera iska bohat hi ziada acha hai hang bilkul nahi hota na heat up horaha hai ab tak k istemal mein umeed karta hon agay b aise hi chalega,1
acha phone hai bettry bhi achi hai look zabardast hai,1
phone tou no doubt bohat smart hai looks mein bhee pyara aur qeemat mein bhee bohat zyada nai hai tou aik achi choice hai kharedari ki is ka camera price kay hisab se bohat acha hai light mein ya dark mein picture quality bohat achee aatee hai aur battery bhee lagbag aik din poora nikla letee hai system ka istemal bhee mezay ka hai android os chalanay mein koi masla nai karta lekin gb ram honay ki waja se kabhi kabar mushkilat paish aatay hain jaisay mein social media bohat use karta hoon tou saray caches ram pe bhari parh jatay hain aur ram perform nai kartee phone lag hona shuruh krdetee hai kbahi contacts mein scroll kartay waqt phone hang hojata hai aur number dial krne kay seconds baad pata chalta hai kay call lag gayee hai ya nai jab kay phone bohat lag krta hai lekin lagging kay elawa budget mien yeh phone bohat acha hai nbas mein yehee recommend karoonga kay iskay naye model mein ram ki behtari karein gb ab kaun use karta hai p,1
bahoot acha mobile a iss dezine bee bahoot acha a par muje iss ke saat zong ka free data nahi mela,1
ye phone bohot acha laga mujay amaizing camera gb ram and big storage luncher kuch khas nahi tha to ma nay nougat launcher install kia ha to amazing look provide karta ha baqi phone ki look shining and smoot surface iski alag hi pehchan ha,1
sorry mery last review k lye wo drasal iski setting main thi option ye mobile boht zabrdast hy kmal hy or original hy mjhy boht acha laga i love you daraz team,1
ask acha phone hai is price range mein or achi market value hai its good,1
bus dance chk karo tm,1
allah qandeel ko aur hamari sari larkion ko iffatopaak damani se maal a maal karay aameen,1
is liye nikala ke tum chor ho pakistan zinda bad pak army zinda bad isi zinda bad imran khan zinda bad go nawaz go,1
allah sain jannat firdous me alla maqaam day amjad sabriii kha,1
arey yaar itna mai life me kabhi nahi hasa,1
km se km me to nahi dekh sakty ager dunia baki rahi to me shyed sudhar jayn,1
ya allah kram kry ameen,1
tm log veriat kohli ko ahmad shahzad k sath compare kr k kohli ki insult krty o this isnot fair ok,1
ye sahi ha baigari thi ki k pani ki bottel itne aram se side kar lia,1
awla kaam kerdia hai agar bach gae hongy to khudi baaz ajain gaye r yaad rakhy gae k last time bund pay fire wajy thy ab nahe kerna,1
ya allah tera shukar hai tune jo mujhe aata kiya hai main gunnaghar ho per teri zaat nirali hai hum sab per or humare jitne saffed posh bhai behan hai in per apna karam farma ameen,1
allah sb ko asi nagehaani afat se mhfooz rkhe ameeeen,1
ab mola ali as k naam pr yh kya naya tamasha khara ho gya hy,1
kas esi public hamare desh me bhi hoti,1
traffic signals per ruknay sai honaiy wali aik minute ki dair humaisha ki dair saiy behtar hai,1
moh amir na jasa ya match jeetwahia hai aus jo mistak ki thi shaid huma ausa maaf kar dana chaia ab,1
tamaam arakeen mma jo dobara mutahid ho rahey hain,1
jitna zoor laga loo result hi ho ga tum loog azmay howay jawarri hoo,1
beshak reality is k ber akas h lekin is video ne aik acha msg dia h,1
hahaha nawaz shaeef ka paisa pakra giya,1
ya allah zalimeu ko tabia o birbade kre day aor shami maslmaneo ke madid farma ameen suma ameen,1
mashallah jo rasta havelian bridge cross kr k damtor ki taraf jata hy wahan se atd enter hota hy wahan b checking start kryn shamila hill se jo rasta haripur ki taraf jata hy wahan b,1
istagfirullahfrman hai tum zameen waloon pr rehm karoaor asmaan wala tum per rehm kray gaye loug insaan ni janglii dreenday hain jo janwaroo py zulaam krty hai ye kis kis k mrgy hai zalmoo zulaam se baaz ao in hii ka gosht khaty ho,1
ya allah tauba ke baghair maut na dena ya allah jab tu hum sy razi hojaye tab bulana ameen,1
bari he fit shirts hai teeno color bhi acha hai aur fitting bhi overall dekhnay mein bari stylish lagti hain,1
mera experience iss polka dot coat kay saath bara raha jis tarhan website mein describe kia tha waisa hee product deliver kia gaya hai aur mien bohat khush hoon kay awal tou yeh perfect size ka hai aur quality nmein koi compromise nai kiya gaya hai,1
insaniyat thi shukar ha fire nahi kiya,1
mola hum sub ko zirat naseeb karin ameen,1
allah panah day asay khoni janvar say ameen,1
hahaha next try k lye best of luck,1
acha ye pakistani police hai in ki ma ankh ye hakumat hi esi hai to police too phir use bi kuti hai na,1
sirf gun rakhne se khuch nahen hota usko chalana bhi a na chahiye,1
purana jugar ha ye bus botel k cap mazboti se band ho air tight leak na ho pai pani m bhale khali ho apko doobny na de gi is se to aik bandy ny kashti banai thi,1
jisy allah rkhy usy kch nhi ho sakta,1
allah pak bohat qudrat wala hy ik salahyat k badly ek hazar enayat farma deta hy allah o akbar,1
wo aise poets ka intekhab kart eke nazreen jhoom jhoom uthte the,1
saazon ki sangat mein pesh ki jane wali in nazmon ko wo theka kaha karte the,1
aik aur barhi dilchasp chez ghaliban rasheed umar thanwi ne inhe likh kar di thi,1
shakra ki maa yeh bolimujh ko beti ke liye barr chahiye zia mohyeddin show ke ilawa inho ne ptv par payal zia mohyeddin ke sath chacha chakkan drama markhem aur bohat se anfaradi noiyat ke programs mein bhi apni salahiyaton ke johar dikhlae,1
zia mohyeddin aaj bhi khoob se khoob turki talaash mein hain,1
yeh bilkul achotey aur intehai meyari qisam ke programs ka silsila hai,1
jab audience aik artist ko apne saamne stage par tann tanha urdu aur english adab ke shey paron ko parhte hue sunte hain to in par kaif o masti ka aisa aalam taari ho jata hai jis ki lazzat se wo pehle na aashna the,1
one man show ka yeh silsila zia mohyeddin in ki khobsurat tajseem o tehzeeb mein khas malika rakhte hain,1
wo ashaar ke ilawa lafzon aur jumlon ko bhi is qadar pur kashish bana dete hain ke audience mashoor hue jate hain,1
yehi wajah hai ke in ka intekhab is qadar jama hota hai ke shaiyqeen ussh ussh kar uthte hain,1
in ka muntakhib karda kalaam samaton ke zariye audience ke adraak o shaoor ki gehraiyon mein apni tamam tar maeyne aafrini ke sath utarta chala jata hai,1
zia mohyeddin apne tarz takhatub aur andaaz e takallum ke zariye audience ki rooh mein boond boond taazgi aur farhat columns bikherte hain aur mehfil par sakoot taari ho jata hai tab aisa lagta hai ke jaise un ki baat apne hadaff tak pohanch gai aur yehi takmeel aarzoo ki ghari hai,1
ek sakhun aur ke phir tarz e takallum terahusun sadah ko inayat kare aijaz ka rang,1
maroof actress model mathira ne mien apni all rounder performance se showbiz ke mukhtalif shobon par raaj karne ka aelaan kar diya,1
aik taraf to mathira film aur tv mien acting ke johar dikhaeyngi jab ke mezbani ke sath sath mauseeqi ki duniya bhi apni salahiyaten mutarif karwaengi,1
mathira ne singing ki duniya mien qadam rakhte hue kuch geet record kar liye hain,1
jab ke in ki video mukammal hote he aik ranga rang launching taqreeb ka ineqaad bhi kiya jaega,1
is hawale se mathira ne bataya ke pakistan he nahi indai mien bhi kuch project sign kiye hain,1
jis ki wajah se rawan baras mien mukhtalif andaaz ke sath choti aur barhi screen par jalwagar hoti rahongi,1
is ke liye main ne aik behtareen composition wale geet ko record kiya hai aur ab is geet ka video bhi banaya jaega,1
inho ne kaha ke main janti hon ke music aik mushkil kaam hai aur is ke liye music ki samajh bojh hona bohat zarori hai,1
main music ko samajhti hon aur jin logon ne meri awaaz sun rakhi hai wo jante hain ke main acha gaa sakti hon,1
isi liye main ne acting modeling aur hosting ke baad singing ke shobey mien qadam rakha hai,1
yeh mere chahne walon ke liye surprise ho ga magar mujhe umeed hai ke jab wo mera geet sunege to use khob enjoy karenge,1
urdu zuban mien record kiye jane wale geet mien nachne aur jhomne ke liye hum ne original saaz istemal kiye hain,1
jahan tak geet ke video ka talluq hai to us ko jadeed technology ke sath shoot kiya jaega ta ke mera geet sirf pakistani channels par he nahi bal keg her mulki music channels se bhi on ear ho sake,1
aik sawal ke jawab mien mathira ne bataya ke main all rounder rahon aur bataur all rounder acting modeling hosting aur singing jari rahegi,1
is liye mujhe jo bhi kaam acha lagta hai main zaroor kar rahi hon lekin film ka naam apne role aur film ki kahani ke barey mien kuch nahi bata sakti,1
kyun ke main ne yeh iradah kiya hai ke mien apne chahne walon ke sath sath mukhalfeen ko bhi surprise don to is le liye sab ko sabar karna ho ga,1
lekin is se mujhe koi farq nahi parhta,1
mera focus apne kaam ki taraf hai,1
jis ko jari rakhongi,1
main ne apne kaam ke hawale se rawan baras ke liye jo schedule tarteeb diya hai is mien film tv aur music ke ilawa beron mumalik programs mein performance bhi shamil hai,1
is liye yeh saal meri kamiyabiyon aur career mien nae direction ka saal hai,1
mathira ne aik sawal ke jawab mien bataya ke fashion industry ke liye bohat se projects sign kiye hain,1
fashion shows mien cat walk to nahi lekin tv commercials aur photo shoot ke projects mien kaam karongi,1
bohat se multinational brands ne is silsila mien apni products ki tasheer ke liye sign kiya hai,1
jis ke liye malaysia mien bhi kuch photo shoot kiye jaenge,1
inho ne kaha ke hamare mulk mien private productions ke banner taley bohat se ache drama banae ja rahe hain,1
is liye ab aane wale nae dramas mien main baqaiyda kuch sanjeeda roles mien dikhai dongi,1
wo dekh saken ke main sanjeeda kaam karne ki aehal hon aur ab in ko mere kaam ke zariye he behtar jawab milega,1
lollywood actress resham ka kehna hai ke baaz actresses meri kamiyabiyon se hasad karti hain lekin mujhe in ki qatai koi parwah nahi hai,1
main naik niyati se apne kaam par tawajja markooz kiye hue hon aur is ka mujhe phal bhi mil raha hai,1
yeh sirf allah pak ki zaat hai jo zarre ko aaftab bana deta hai,1
main apne tamam fankar sathiyon ki izzat karti hon aur in ki shandar performance par in ko mubarakbad deti hon,1
geo aur jeene do mera falsafa hai aur agar hum is par karband ho jaey to is mulk ke masaiyl barhi had tak kam ho sakte hain,1
actress laila aur nirma ne showbiz mien in hone ke liye koshishen tez kar di,1
pakistan film producers association se films ke naam registered karne se qabal is ko behtar karne ke liye mulaqat karongi,1
film industry ki bahali ke liye hukomat se madad mangne ke bajae humen apni madad aap ke tehat film banani chahiye,1
fankar bila muaawza kaam karen aur film ki release ke bad apne muaawze wasool karen,1
zeba begum ne guzishta roze apni rehaiyshgaah par karachi ki film and tv journalist association aur lahore ki cultural journalist foundation ke wafood se mulaqat ke dauran bataya ke apni zimmedari ko imandari ke sath nibhaongi,1
past mien film industry ka mahaul bohat acha tha aur is ko behtar rakhne ke liye hum sab fankar mil kar koshish karte the,1
abhi bhi is ko behtar kiya ja sakta hai,1
main ne past mien jo kaam kiya wo logon ko aaj tak yaad hai,1
inho ne kaha ke hamare mulk mien naujawano ne filmsazi ke shobey mien qadam rakha hai aur wo bohat acha kaam kar rahe hain,1
adakara meera ko hospital ki tamer ke leye teen aekar arazi ki farahmi ki dastawez par dastakhat kar deye gaye,1
meera ko hospital ki tamer ke leye ye arazi sialkot ki siyasi shakhsiyat naeem ghuman ne faraham ki hai,1
press culb mein pur hujom press conference mein meera aur naeem ghuman ne dastawez par dastakhat kiye,1
kisi interview ya guftugo ka aik aurbarha aeham nukta yeh hota hai ek maizbaan mehmaan ko apni baat kehne ka ziyada se ziyada mauqa de,1
zia mohyeddin chunke tarbiyat yafta broadcaster hain aur bairoon mulk radio aur television ka wasee tajurba rakhte hain lehaza wo in usoolon se bakhubi waqif hain is liye inho ne hamesha apne mehmano ko markazi aehmiyat di,1
razia sheer khan bilkul aik ache trainer ke sath sath ache nutritionist ki bari ahamiyat hai,1
zahir hai ke aik balance diet aap ki karkardagi ko aage barhane mein mawin sabit hoti hai,1
is mein protein ka imtezaj aur pani ka istemal bari ahamiyat ka hamil hota hai,1
question apni karkardagi ko behtar banane ke leye rozana kitne ghante practice karti hain,1
unhen hukumat ki janib se har tarah ki support hasil hoti hai,1
yahan ke athletes job karne ke elawa zindagi ki tamam mushkilat bardasht karne ke sath sath kheelne ke leye waqat nikalte hain aur mulk ke leye bohat kuch karne ka jazba rkhte hain,1
main aik baat zaroro kahon gi ke in tamam mushkilat ke bawajod pakistan mein talent ki koi kami nahi hai,1
agar tartan track achi ho gi to aap ki training aur practice ka mayar bhi acha ho ga,1
achi tartan track par training ke doran aap enjoy karte hain,1
aap ko is mein bounce milta hai jis se karkardgi behtar bannane mein madad milti hai,1
question aik athlete ko apni karkadgi behtar banane ke leye ache joggers jote kitana aham kirdar ada karte hain,1
razia sheer khan haqiqat to ye hai ke mayari joggers mehange to hote hain lekin in ka balance bohat acha hota hai jo aap ki karkadagi ko na sirf behtar karta hai balke aap bohat acha mehsos karte hain,1
ye baat bilkul sahi hai ke mayari joggers majmoi karkardagi ko behtar banane mein dosri cheizon ke sath sath aham kirdar ada karte hain,1
question pakistan ki kis athlete khatoon se sab se ziyadah mutasir hain,1
razia sheer khan main pakistan ki international athlete shazia khan se bohat mutasir hun,1
main ne jab quomi satah par ibteda ki to na sirf main ne un ko ideal banaya balke un se training bhi li,1
ye ibteda mein un ki training ka hi natija tha ke mujhe un se bohat kuch sekhne ka moqa mila aur apni karkardagi ko behtar banane mein kamyab rahi,1
is se phele snidh games par nazaren hain jis mein aik martaba phir apni sabiqa achi karkardagi ko dohrana chahon gi,1
mujhe is baat ki khushi hai ke main ne ke games mein infaradi tor par sab se ziyadah gold medals leye the jo aik record hai,1
main chahon gi ke is record ko mazid behtar banao,1
razia sheer khan abhi to mereghar walon ne mujhe har tarh ka support kiya hai,1
main samajti hunk e karkardagi ko behtar banane aur tasasul ko qaim rakhne ke leye achi mulazimat ki bari ahamiyat hai,1
mohibullah ne mertaba british open ke final mein pahonche magar teeno mertaba woh azam khan ke vhaton shikast sey do char ho gae final mein bhi unhon ne bahot zaberdast khail ka mozahra keya megar un ke mamoon ne apne tajurbe sey faida uthate hue bazi jeet li,1
akhir kar british open title mohibullah ke hisse mein mein aya yeh sabit qadmi ki fatah thi unki mehnat rang lai aur qismat neb hi un ka khoob sath deya,1
woh ibtedai round ke matches mein behtareen kar kerdagi ka mozahra kerke final mein pahonche they,1
mein mohibullah ne apne bare mein apne mamoon hashim khan ko do bare tournament ke final mein shikast di pehle unhon ne us open jeeta aur phir candian open,1
mein mohibullah ko america mein koching ka moqa bhi mila boston mein qaim harrods club ne mohibullah khan ko professional coach moqarar kiya tha,1
many times he has elected president of the world squash federation,1
squash ki duniya key leyea bea taj badsha aur tareekh key behtareen khelari jahangir khan december key roze karachi mein paida huae,1
jahangir khan na squash ke maidan mein pakistan ka nam roshan kei,1
iss ke baad jhangir khan ke walid roshan khan aur bhai torsam khan kamyabian hasil kein te rahe,1
app ney pehli kamiabi september mein sal ki umer mein gair peasha wer khelaryon ki almi chapion ship jeet ker hasil ki,1
iss waqae ney jhangir khan ki nafsiat par ghara aser dala unhon ney shabana roz terbiat aur sakht mehnet ka silsila shuru ker dea aur apney kazen rehmat khan ki cotching mein aisey khelari baney key sirf sal ki umer mein unhon ney australia key jeef hfunt ko shikasht dea ker world open jeet lea,1
yahan sey jahangir khan ki kamyabeon key silseley ka agaz hua aur moselsel sal tek who na qabil e shishat rahtey huae kamyabeon par kamyabian hasil ker tey gae,1
unhon ney sarehy panch saw sey zaid moqablon mein mosalsel kamyabi hasil ker key aisa record qaiem kea jisey shaed aenda koi na tor sekey,1
mein jhangir khan ney aik point bhi beggar inter national squash plears asosi ashion ki champion ship jeet ker aik dunya ko warta hairet mein dal dea,1
yehan bhi jahangir khan ney apna loha manwaya aur tournaments mein sey mein kamyabi hasil ki,1
amrica key saf e aual key khaelari mark talboot sey iss dauran inn ka moqabla hua aur inn mein sey mertaba jahangir khan ney kabyabi hasil ki,1
ibtedai moqablon mein jahangir khan ko kamyabi hasil hue lakin bad azan jan sher khan ney mosalsel moqablon meinun key khelaf kamyabi hasil ki,1
jahangir khan key khelaf kamyabi ka iss sey behter record aur kisi khelari ka nahin,1
retired honey sey pehley unhon ney mosalsel bar yea ejaz hasil kea jo aik record hay,1
app ki kamyabeon key eteraf mein app ko sadarti temgha barae husn karkerdagi sey nawaza gea aur canada key aik adarey ney un ki zindagi par fatha nami aik film bhi taiyar ki,1
iss key elawa almi sitah par unhein bea shumar deegar azazat sey nawaza gea woh kae mertaba almi squash fedreation key sadar bhi muntakhib ho chukey hain,1
boom boom afridi mountains ke shehzade aur cricket ground mein sixers ka badshah,1
jarihana andaaz se khelne wale khiladi to duniya mein beshumar hain magar afridi ki baat he kuch aur hai,1
kuch log to yahan tak kehte hain ke cricket ki duniya ne in jaise mizaaj ka khiladi na dekha hai aur na shayad aaiynda dekh paaenge,1
in ke bare mein yeh kehna ke wo jarihana style ke all rounder hain,1
tahum inhe ab bhi one day international aur twenty twenty ka king kaha ja sakta hai,1
agar wo bating mein johar nahi dikha pae to balling mein jadogari dikha dete hain,1
isi liye shahid ko dunioya ke behtareen all rounder ki suff mein shamil kiya jata hai,1
shahid afridi aise batsman hain ke jo khelne ke liye ground mein aate hain to aik samaa band jata hai,1
cricketer shahid khan afridi us daur ki paidawar hain jab pakistan ne mein world cup jeeta tha aur har naujawan imran khan aur javed miandad ki tarah cricketer banna chahta tha,1
shahid ki aamad aik toofan sabit hui kyun ke nairobi ground par kenya ke khilaaf rd number par bating karte huie in naujawan ne balls par century bana kar aalmi record torh dala tha,1
yeh mehdood over ski tez tareen century thi jise dekhte hue cricket ke paristaron ki oper ki saans oper aur niche ki saans niche reh gai thi,1
sari duniya satellite television ke zariye mebhoot ho kar yeh manzar dekh rahi thi,1
yun shahid afridi raaton raat gumnami se nikal kar aik super star ban gae the,1
razia sheer khan main pakistan ki international athlete shazia khan se bohat mutasir hun,1
main ne jab quomi satah par ibteda ki to na sirf main ne un ko ideal banaya balke un se training bhi li,1
ye ibteda mein un ki training ka hi natija tha ke mujhe un se bohat kuch sekhne ka moqa mila aur apni karkardagi ko behtar banane mein kamyab rahi,1
is se phele snidh games par nazaren hain jis mein aik martaba phir apni sabiqa achi karkardagi ko dohrana chahon gi,1
mujhe is baat ki khushi hai ke main ne ke games mein infaradi tor par sab se ziyadah gold medals leye the jo aik record hai,1
main chahon gi ke is record ko mazid behtar banao,1
razia sheer khan abhi to mereghar walon ne mujhe har tarh ka support kiya hai,1
final mein bhi unhon ne bahot zaberdast khail ka mozahra keya megar un ke mamoon ne apne tajurbe sey faida uthate hue bazi jeet li,1
akhir kar british open title mohibullah ke hisse mein mein aya yeh sabit qadmi ki fatah thi,1
unki mehnat rang lai aur qismat neb hi un ka khoob sath deya,1
woh ibtedai round ke matches mein behtareen kar kerdagi ka mozahra kerke final mein pahonche they,1
pehle unhon ne us open jeeta aur phir candian open,1
mein mohibullah ko america mein koching ka moqa bhi mila boston mein qaim harrods club ne mohibullah khan ko professional coach moqarar kiya tha,1
in ki maujodgi se hamesha mukhalif team par aik khauff sa taari rehta hai,1
january mein in ke han pehli pyari se beti aqsa afridi paida hui,1
behar kaif field mein in ki maujodgi in ke sathiyon ke liye hamesha taqwiyat ka baiys hoti hai,1
jis ka faida qaumi team ko pohanchta hai,1
mukhtasir dauraniye ki cricket mein shahid afridi ki aalmi maqboliyat ka aik sabot guzishta dino us waqt saamne aaya jab bangladesh premier league mein sab se barhi boli inhi ke liye di gai,1
in ki khidmaat hasil karne ke liye dhaka franchise ne lac dollars ki peshkash ki,1
tahum shahid afridi ne apne watan ke liye khelne ko daulat kamane par tarjeeh di aur england ke khilaaf series ke baiys bpl mein khelne se inkaar kar diya,1
is tarah inho ne sabit kiya ke won a sirf match winner player hain,1
bal ke aehl e watan ke dilon ko jeetne ka hunar bhi khoob jante hain,1
